,살인,강도,강간,절도,폭력,살인검거율,강도검거율,강간검거율,절도검거율,폭력검거율,범죄,검거
0,0.3063063063063063,0.7140000000000002,0.564453125,0.41694915254237275,0.7529411764705891,76.9,85.7,77.7,42.9,86.5,369.7,2.7546497603192686
1,0.24924924924924907,1.0,0.5859375,0.09152542372881345,0.32941176470588474,75.0,100.0,78.8,33.3,82.9,370.0,2.256123937683947
2,1.0,0.8580000000000001,0.65625,0.423728813559322,1.0,100.0,92.9,82.4,43.1,88.6,407.0,3.9379788135593223
3,1.0,1.0,0.470703125,1.0,0.5529411764705898,100.0,100.0,72.9,60.1,84.8,417.8,4.02364430147059
4,0.666666666666667,1.0,0.396484375,0.0,0.0,88.9,100.0,69.1,30.6,80.1,368.70000000000005,2.063151041666667
5,1.0,1.0,0.837890625,0.39322033898305087,0.34117647058823586,100.0,100.0,91.7,42.2,83.0,416.9,3.5722874345712867
6,0.24924924924924907,0.46599999999999997,0.1875,0.2542372881355932,0.09411764705882497,75.0,73.3,58.4,38.1,80.9,325.70000000000005,1.2511041844436672
7,1.0,1.0,0.625,0.8847457627118644,0.7529411764705891,100.0,100.0,80.8,56.7,86.5,424.0,4.262686939182453
8,1.0,1.0,0.24609375,0.19999999999999996,0.6352941176470601,100.0,100.0,61.4,36.5,85.5,383.4,3.0813878676470603
9,1.0,1.0,1.0,0.48813559322033884,0.882352941176471,100.0,100.0,100.0,45.0,87.6,432.6,4.370488534396809
10,1.0,1.0,0.6953125,0.35593220338983045,0.858823529411767,100.0,100.0,84.4,41.1,87.4,412.9,3.9100682328015974
11,1.0,0.1120000000000001,0.0,0.16271186440677954,0.35294117647058876,100.0,55.6,48.8,35.4,83.1,322.9,1.6276530408773684
12,1.0,0.42800000000000016,0.6875,0.04067796610169494,0.5058823529411782,100.0,71.4,84.0,31.8,84.4,371.6,2.6620603190428733
13,1.0,0.6000000000000001,0.619140625,0.34237288135593213,0.36470588235294343,100.0,80.0,80.5,40.7,83.2,384.4,2.9262193887088754
14,0.24924924924924907,0.3340000000000001,0.28515625,0.366101694915254,0.8705882352941199,75.0,66.7,63.4,41.4,87.5,334.0,2.105095429458623
15,1.0,0.7780000000000002,0.890625,0.22033898305084731,0.7529411764705891,100.0,88.9,94.4,37.1,86.5,406.90000000000003,3.641905159521437
16,1.0,0.6000000000000001,0.662109375,0.36949152542372876,0.45882352941176663,100.0,80.0,82.7,41.5,84.0,388.2,3.0904244298354957
17,0.726726726726727,0.5380000000000003,0.626953125,0.1457627118644067,0.5294117647058822,90.9,76.9,80.9,34.9,84.6,368.20000000000005,2.5668543282970164
18,1.0,0.0,0.755859375,0.1694915254237288,0.09411764705882497,100.0,50.0,87.5,35.6,80.9,354.0,2.0194685474825538
19,0.5705705705705708,0.8180000000000001,0.2578125,0.08135593220338966,0.32941176470588474,85.7,90.9,62.0,33.0,82.9,354.5,2.057150767479845
20,1.0,1.0,0.7890625,0.2406779661016949,0.35294117647058876,100.0,100.0,89.2,37.7,83.1,410.0,3.3826816425722837
21,1.0,0.3340000000000001,0.705078125,0.22033898305084731,0.8000000000000025,100.0,66.7,84.9,37.1,86.9,375.6,3.05941710805085
22,0.4984984984984986,0.6359999999999999,0.537109375,0.26101694915254225,0.4823529411764724,83.3,81.8,76.3,38.3,84.2,363.9,2.414977763827513
23,0.0,0.3340000000000001,0.322265625,0.10508474576271198,0.9647058823529431,66.7,66.7,65.3,33.7,88.3,320.7,1.7260562531156551
24,0.7687687687687688,0.6359999999999999,0.591796875,0.2779661016949151,0.5176470588235311,92.3,81.8,79.1,38.8,84.5,376.5,2.792178804287215
